,Top Nouns,빈도수
801,차이/NNG,98
802,보관하/VV,98
803,설선물/NNG,98
804,갯수/NNG,98
805,기대되/VV,98
806,구/XPN,97
807,춥/VA,97
808,용/NNG,97
809,날씨/NNG,97
810,지나/VV,97
811,부드럽/VA,97
812,정성스럽/VA,97
813,문제/NNG,96
814,스푼/NNG,96
815,알아보/VV,96
816,던데/EC,96
817,짜먹/VV,96
818,든든하/VA,96
819,은은하/VA,96
820,길/VA,95
821,팩/NNG,95
822,봉투/NNG,95
823,산/XSN,95
824,자르/VV,95
825,연말/NNG,95
826,왜/MAG,95
827,버리/VX,94
828,어렵/VA,94
829,구/NNG,94
830,늘/NNG,94
831,ㄹ려구/EC,94
832,뜨/VV,94
833,맞추/VV,94
834,기다리/VV,93
835,품절/NNG,93
836,맛과/NNG,93
837,바쁘/VA,93
838,직장/NNG,93
839,해외/NNG,93
840,우유/NNG,92
841,둘/NR,92
842,원래/NNG,92
843,생/XSN,91
844,요/MMD,91
845,간단히/MAG,91
846,빵/NNG,91
847,완벽하/VA,91
848,생일/NNG,90
849,말하/VV,90
850,이것/NP,90
851,따르/VV,90
852,소분/NNG,90
853,모든/MMN,90
854,싸/VV,90
855,다행/NNG,90
856,숙취/NNG,89
857,거의/MAG,89
858,답례/NNG,88
859,취향/NNG,88
860,아용/EC,88
861,족하/VA,88
862,짜/NNG,88
863,려구/EC,88
864,대하/VV,87
865,꽃/NNG,87
866,더욱/MAG,87
867,으라고/EC,86
868,하고/JC,86
869,효능/NNG,86
870,무난하/VA,86
871,맛잇/VA,86
872,여/JKV,86
873,쓴맛/NNG,86
874,쟁이/VV,86
875,사실/MAG,85
876,구매번/NNG,85
877,놓/VV,85
878,친정/NNG,85
879,습니당/EF,85
880,국산/NNG,85
881,못하/VV,84
882,원하/VV,84
883,도록/EC,84
884,생각나/VV,84
885,작년/NNG,84
886,답변/NNG,84
887,하나하나/MAG,84
888,가져가/VV,83
889,깨끗하/VA,83
890,눈/NNG,83
891,가능하/VA,83
892,아버지/NNG,82
893,찢어지/VV,82
894,언니/NNG,82
895,어르신/NNG,82
896,이제/NNG,82
897,꼼꼼/MAG,82
898,제주도/NNP,82
899,프응/NNG,82
900,거부감/NNG,81
901,이/NP,81
902,다음번/NNG,81
903,종종/MAG,81
904,배송하/VV,81
905,확인/NNG,81
906,밖/NNG,80
907,빠지/VV,80
908,낫/VA,80
909,복용하/VV,80
910,중간/NNG,80
911,요리하/VV,80
912,얼리/VV,80
913,ㄴ다/EF,80
914,식구/NNG,80
915,덜/VV,80
916,아/NNG,80
917,대량/NNG,80
918,ㄴ다는/ETM,79
919,풀리/VV,79
920,편안하/VA,79
921,아여/EF,79
922,봉/NNG,79
923,일회/NNG,79
924,으나/EC,79
925,찌그러지/VV,79
926,네/XSN,79
927,ㅋㅋㅋ/NNG,79
928,터/NNB,79
929,편지/NNG,79
930,대추나무/NNG,79
931,동안/NNG,78
932,지컷/NNG,78
933,성분/NNG,78
934,지금/NNG,78
935,쓰리/VA,78
936,섞이/VV,77
937,이지컷/NNG,77
938,복용/NNG,77
939,정기/NNG,77
940,평/NNG,77
941,감동이/NNG,76
942,ㅎㅎㅎ/NNG,76
943,땡기/VV,76
944,키우/VV,76
945,놀래/VV,76
946,직원/NNG,76
947,야생/NNG,76
948,꿀향/NNG,76
949,날짜/NNG,76
950,적/NNB,76
951,그릭요/NNG,75
952,사탕/NNG,75
953,일어나/VV,75
954,송/NNG,75
955,ㅎㅎ/EC,75
956,쯤/XSN,75
957,말/VX,75
958,쌉싸름하/VA,75
959,꽤/MAG,74
960,기력/NNG,74
961,무/NNG,74
962,없어지/VV,74
963,지인분/NNG,74
964,월/NNG,74
965,ㄷ/NNG,74
966,요청/NNG,74
967,다고하/VV,74
968,벌크/NNG,74
969,튜브/NNG,73
970,자연/NNG,73
971,밖에/JX,73
972,나무/NNG,73
973,접하/VV,73
974,ㄹ지/EF,72
975,훌륭하/VA,72
976,보고/JKB,72
977,다양/NNG,72
978,잔/NNG,72
979,감/NNG,72
980,아/IC,72
981,바꾸/VV,71
982,구매늘/NNG,71
983,호불호/NNG,71
984,되있/VV,71
985,유용하/VA,71
986,꾸덕/NNG,71
987,이벤트/NNG,71
988,틴케이스/NNG,71
989,벌/NNG,70
990,뚜껑/NNG,70
991,ㅂ니당/EF,70
992,오늘/MAG,70
993,비교하/VV,70
994,ㅎㅎ/MAG,69
995,도착/NNG,69
996,뭐/IC,69
997,영양/NNG,69
998,중요하/VA,69
999,또한/MAG,69
1000,잡화/NNG,69
1001,에너지/NNG,69
1002,타입/NNG,69
1003,이름/NNG,69
1004,돌잔치/NNG,69
1005,귀하/VA,68
1006,패키징/NNG,68
1007,감사히/MAG,68
1008,저/XPN,68
1009,이/NNG,68
1010,어머님/NNG,68
1011,일/NR,68
1012,수저/NNG,68
1013,지/NNG,68
1014,데/EF,68
1015,빈속/NNG,67
1016,상담/NNG,67
1017,사야하/VV,67
1018,용이하/VA,67
1019,활용하/VV,67
1020,출근/NNG,67
1021,느라/EC,67
1022,ㅂ/NNG,67
1023,묵직하/VA,67
1024,하/JKV,66
1025,뒤/NNG,66
1026,겸/NNB,66
1027,혈당/NNG,66
1028,대서/EC,66
1029,사용기자/NNG,66
1030,원/NNB,66
1031,곤/EC,66
1032,적극/NNG,66
1033,물론/MAG,66
1034,부족하/VA,66
1035,버리/VV,65
1036,까먹/VV,65
1037,에들/VV,65
1038,덜하/VA,65
1039,보충/NNG,65
1040,대로/JX,65
1041,지요/EF,65
1042,ㅅ/NNG,65
1043,위장/NNG,64
1044,양가/NNG,64
1045,곧/MAG,64
1046,다길래/EC,64
1047,ㅠㅠ/NNG,64
1048,음/EC,64
1049,당/MAG,64
1050,경우/NNG,64
1051,으려/EC,63
1052,우연히/MAG,63
1053,시/NNG,63
1054,설날/NNG,63
1055,가래떡/NNG,63
1056,행복하/VA,63
1057,반/NNG,63
1058,조만간/MAG,63
1059,브랜드/NNG,63
1060,수량/NNG,63
1061,계피/NNG,63
1062,소량/NNG,62
1063,질리/VV,62
1064,자/EC,62
1065,다면/EC,62
1066,재/NNG,62
1067,확인하/VV,62
1068,아무래도/MAG,62
1069,흐르/VV,62
1070,남친/NNG,62
1071,행사/NNG,62
1072,컨디션/NNG,61
1073,수험/NNG,61
1074,위염/NNG,61
1075,언제/MAG,61
1076,기/VV,61
1077,연락/NNG,61
1078,바르/VV,61
1079,한두/MMN,61
1080,요새/NNG,61
1081,는대/EF,61
1082,봣/VV,61
1083,제대로/MAG,60
1084,보다/MAG,60
1085,매스틱/NNG,60
1086,오르/VV,60
1087,다구/EC,60
1088,여/XSN,60
1089,케이스/NNP,60
1090,식품/NNG,60
1091,퍼먹/VV,60
1092,다네/EF,60
1093,유리병/NNG,59
1094,빨아먹/VV,59
1095,라니/EC,59
1096,사용기매일/NNG,59
1097,여서/EC,59
1098,쌉쌀하/VA,59
1099,끈적이/VV,59
1100,할인/NNG,59
1101,글/NNG,59
1102,전부/MAG,59
1103,이후/NNG,58
1104,국내/NNG,58
1105,와/IC,58
1106,지금/MAG,58
1107,여러/NNG,58
1108,으며/EC,58
1109,전혀/MAG,58
1110,녹차/NNG,58
1111,이나/JX,58
1112,딸아이/NNG,58
1113,워낙/MAG,58
1114,기회/NNG,58
1115,무척/MAG,58
1116,고급지/NNG,58
1117,확/MAG,57
1118,고생하/VV,57
1119,봉지/NNG,57
1120,나머지/NNG,57
1121,높이/VV,57
1122,야/JX,57
1123,합리/NNG,57
1124,원래/MAG,57
1125,최근/NNG,57
1126,냐고/EC,57
1127,묽/VA,57
1128,전하/VV,57
1129,무료/NNG,57
1130,독특하/VA,56
1131,종이백/NNG,56
1132,에/EC,56
1133,식도염/NNG,56
1134,제/XSN,56
1135,보자기/NNG,56
1136,적히/VV,55
1137,허/XSV,55
1138,저녁/NNG,55
1139,이것저것/NNG,55
1140,이전/NNG,55
1141,되게/MAG,55
1142,기너/NNG,55
1143,대용/NNG,55
1144,무슨/MMD,55
1145,업체/NNG,55
1146,잘못/MAG,55
1147,붙이/VV,55
1148,들어오/VV,54
1149,이미/MAG,54
1150,음료/NNG,54
1151,시기/NNG,54
1152,느리/VA,54
1153,는다고/EC,54
1154,출근길/NNG,54
1155,용도/NNG,54
1156,친/XPN,54
1157,허니/NNG,53
1158,간/XSN,53
1159,농도/NNG,53
1160,나쁘/VA,53
1161,연력/NNG,53
1162,새해/NNG,53
1163,피부/NNG,53
1164,그릭요거트/NNG,53
1165,치/VV,53
1166,토종/NNG,53
1167,추가하/VV,53
1168,인사/NNG,53
1169,내/VV,53
1170,판매/NNG,53
1171,고급진/NNG,53
1172,꿀벌/NNG,52
1173,이곳/NP,52
1174,투명하/VA,52
1175,외출/NNG,52
1176,의향/NNG,52
1177,번/NNG,52
1178,투명/NNG,52
1179,비슷하/VA,52
1180,한잔/NNG,52
1181,요스틱/NNG,52
1182,다행히/MAG,52
1183,이요/JX,52
1184,수/NNG,52
1185,안되/VV,52
1186,올해/NNG,52
1187,기에/EC,52
1188,오히려/MAG,52
1189,세/VV,52
1190,따/VV,52
1191,시식/NNG,52
1192,때죽나무/NNG,52
1193,주위/NNG,51
1194,올/NNG,51
1195,어리/VA,51
1196,젤리/NNG,51
1197,알차/VA,51
1198,도/NNG,51
1199,주머니/NNG,51
1200,돈/NNG,51
1201,사라지/VV,51
1202,사업/NNG,51
1203,그/NNG,51
1204,ㄴ하/VV,51
1205,딱/NNG,51
1206,시댁/NNG,51
1207,구겨지/VV,51
1208,ㅈ/NNG,50
1209,응대/NNG,50
1210,제격/NNG,50
1211,끈적거리/VV,50
1212,쭈욱/MAG,50
1213,쪽/NNB,50
1214,어울리/VV,50
1215,수고하/VV,50
1216,회분/NNG,50
1217,인터넷/NNG,50
1218,초콜릿/NNG,49
1219,ㅏ/NNG,49
1220,딸리/VV,49
1221,덥/VA,49
1222,소개/NNG,49
1223,안심하/VV,49
1224,신선하/VA,49
1225,연하/VA,49
1226,프로/NNG,49
