,Unnamed: 0,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
369,49,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,csm0***,5,22.05.15.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매빠른배송  먹기도 편해요
370,50,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,skyz****,5,22.04.23.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,포장용기가 너무 예뻐요~
371,51,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,kym9******,5,22.03.24.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"답례품으로 드리기에 아주 적당합니다.
포장도 고급스럽고 가격도 만족합니다."
372,52,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,yang*******,5,22.02.26.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,선물하기 딱 좋은 것 같아요~ 조금 더 용량 큰게 지함으로 있으면 좋을거같아요
373,53,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,fbrm*****,5,22.03.01.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,퇴사선물용으로 샀어요 고급져요!
374,54,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,nara******,5,22.04.13.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기재구매좋아요좋아요좋아요좋아요
375,55,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,234c***,4,22.03.16.,"상품구성선택: 블렌딩 허니스틱15포(쇼핑백포함)
",유통기한꽤 남았어요포장적당해요편리편리해요,"주변에 선물했는데 다들 좋아하셨어요
먹기도 편하고 사은품으로 주신것도 감사합니다~!"
376,56,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,nara******,5,22.03.13.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매좋아요좋아요좋아요좋아요
377,57,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,nara******,5,22.04.02.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기좋아요좋아요좋아요좋아요
378,58,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,ge****,5,22.01.29.,"상품구성선택: 블렌딩 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,어린이집 설선물로 드렸는데..  완죤짱이예요 ^^
379,59,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,nkmo***,5,21.12.19.,"상품구성선택: 블렌딩 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"빠른배송~~
만족스런 포장~~
퀄리티 있는 상품 ~~
만족스러운 제품입니다 ^^"
380,60,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,woqk***,5,21.10.17.,"상품구성선택: 블렌딩 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리그냥그래요,다 좋았습니다 깔끔하고 또 통은 고급스럽고 받으시는 분 들이 다 이쁘다고 칭찬일색이네요 감사합니다~~그리고 져도 하나 먹어볼려고 뜯는데...이지컷 부분이 가공이 덜 된건지 손우로 뜯는데 사진처럼 만큼 밖에 안 뜯기더라구요ㅠ아쉽게도...그치만 꿀이 문제가 있는 것이 아니기에 너무 만족하는 소비가 되었습니다 정말 다시한번 감사합니다~~~
