,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
58,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,kyck*****,5,22.02.24.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"밤꿀시켜서 증정 먹어보고 시켰어요
만족하고 맛있어요"
59,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,swan*****,5,22.03.20.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,가볍게 휴대하고 마시고 싶을 때 마셔요
60,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,kyh5*****,4,22.03.17.,"지리산꿀스틱: 선물세트(60포)
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,꿀양이너무적게들어있어요
61,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,hees******,5,22.02.16.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"재구매저희가 먹어보고 맛있어서, 부모님께 선물로 보내드렸습니다. 1포씩 포장되어 있어 먹기 편하다고 좋아하시네요."
62,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,seoy*******,5,22.03.03.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"선물용인데  휴대용으로 좋다고 하십니다,"
63,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,yho0***,4,22.01.20.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기아침마다 남편하나씩 챙겨줬는데 좋아합니다
가지고다니기 부담없고 가격은 좀 부담되네요
재구매의사있어요"
64,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,hees******,5,22.02.13.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,개별포장되어 있어서 먹기 너무 편해요. 맛도 좃ㅇ구요
65,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,chos*****,5,22.01.29.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기재구매소포장이라 너무 편리해요
66,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,sime*****,5,22.01.26.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,감사합니다 잘받았습니다.^^
67,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,chos*****,5,22.01.27.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기소포장이라 너무 편해요
68,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,yho0***,4,21.12.20.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,여행갈때 아주 좋네요 꿀도 맛있어요
69,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,ik****,5,22.01.18.,"지리산꿀스틱: 일반포장(50포)
",유통기한꽤 남았어요포장적당해요편리편리해요,재구매상품입니다. 굿!@
70,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,chos*****,5,21.12.29.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매소포장이라 편리해요
71,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,viva*****,5,21.12.18.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기따뜻해요 매년같은제품
72,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,guri***,4,21.12.20.,"지리산꿀스틱: 일반포장(50포)
",유통기한꽤 남았어요포장적당해요편리그냥그래요,맛이 진해 호불호가 있네요.
73,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,chos*****,5,21.12.15.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,소포장 돼 있어서 편해요
74,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,ca****,5,21.10.26.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,겨울엔 천연꿀차죠 굳
75,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,ejj0***,5,21.09.08.,"지리산꿀스틱: 일반포장(20포)
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,바쁜 신랑 기관지가 안좋아  환절기 때마다 신경 쓰였는데 콤팩트한 스틱이라 차에 두고 언제나 복용할 수 있는 아이디어가 참 좋은것 같아요~ 사장님의 센스에 200점 드리고 신랑목건강 도움되면 꾸준히 재구매 할것 같아요~^^
76,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,aunt*****,5,21.10.17.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,배송빨리 해주시네요^^
77,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,77sh****,5,21.10.12.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기먹기 넘 편하네요 굿굿굿
78,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,hskw****,5,21.08.23.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,배송 빠르고 포장 잘되있고 먹기 편합니다. 꿀 맛도 좋은 거 같아요. 재구매 의사 있습니다.
79,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,77sh****,3,21.08.21.,"지리산꿀스틱: 일반포장(50포)
",유통기한꽤 남았어요포장적당해요편리편리해요,"배송날짜에 받지못했지만 열심히
먹으려고합니ᄃᆢ"
80,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,ik****,5,21.06.30.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장적당해요편리편리해요,맛있름~~ 굿!@ 좋어요
81,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,brav********,5,21.06.05.,"지리산꿀스틱: 선물세트(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,선물드렸는데  좋아하시네요
82,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,thsu****,4,21.05.22.,"지리산꿀스틱: 일반포장(50포)
",유통기한꽤 남았어요포장적당해요편리편리해요,한달사용기들고다니기 편하고 아침에 공복에 먹으니 속이 편해서 넘넘 좋아요
83,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,thsu****,5,21.04.19.,"지리산꿀스틱: 일반포장(50포)
",유통기한꽤 남았어요포장적당해요편리편리해요,간편하고 쉽게 들고다니기 좋아요 맛도 좋구요
84,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,wnsh****,5,21.03.27.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,포장이 넘 이뿌구 먹기 간편해요!!
85,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,pmyy****,4,21.01.15.,"지리산꿀스틱: 일반포장(50포)
",유통기한꽤 남았어요포장적당해요편리편리해요,포장 이뻐요 ㅎ 잘먹을게요~
0,국내산 DMZ 천연벌꿀 꿀스틱 허니스틱 아카시아꿀 30포 [원산지:국산(강원도 양구군)],"59,000",5.0,ko****,5,23.08.14.,"꿀스틱 30포: 야생화 꿀스틱 30포
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기부모님께 선물로 드렸는데 아주 만족해 하셨습니다
종류별로 하나씩 보내드렸는데
세가지 맛 모두 맛있다고 하십니다
다 드시면 또 주문할 계획입니다 😃"
