,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
19,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,kjo3***,5,21.09.17.,"맛: 아카시아 30포 / 쇼핑백: 선택
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,추석전에 못받을까 걱정했는데 다행히 빨리 도착했어요~ 샘플 넣어주신 꿀 먹어보니 아카시아꿀이 달달하니 맛있어요!!!
20,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,ssj4***,5,21.09.27.,"맛: 올인원 / 쇼핑백: 선택
",유통기한아주 넉넉해요포장적당해요편리편리해요,추석 선물로 드렸는데 다드 좋아하시더라구요~ 좋았어요 ㅎㅎㅎ
21,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,0326****,5,21.09.25.,"맛: 올인원 / 쇼핑백: 필요없음
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,먹기편하고 맛있어요~^^ 좋네요^^
22,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,hell********,5,21.09.11.,"맛: 야생화 30포 / 쇼핑백: 필요없음
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,같이 일하는 파트너들과 나눠먹으려고 샀어요. 작은 포케터블도 들고다니며 챙겨먹기 좋을거같아요
23,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,hell********,5,21.09.11.,"맛: 올인원 / 쇼핑백: 선택
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,30포짜리 작은 선물이지만 미니 쇼핑백도 두껍고 고급스러워요!
24,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,octo******,5,21.09.29.,"맛: 올인원 / 쇼핑백: 선택
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,너무너무 좋은 선물이 되었어요^^
25,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,jull****,5,21.08.10.,"맛: 올인원 / 쇼핑백: 필요없음
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매삼실 책상에 올려두고 당떨어지거나 목아플때 먹기 딱이에요! 소포장되어서 나눠먹기도 좋아요! 굳귣
26,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,jull****,4,21.08.10.,"맛: 올인원 / 쇼핑백: 필요없음
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기두번째 구입햇어요! 다섯살 아들도 잘먹어요~
세가지 맛이라 질리지 않고 좋아요"
27,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,real*******,3,21.07.20.,"맛: 올인원 / 쇼핑백: 필요없음
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기재구매종류별로 먹기 편하게 포장되어 있어 선물용으로도, 집에서 먹기도 좋네요^^"
28,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,real*******,3,21.07.20.,"맛: 올인원 / 쇼핑백: 필요없음
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기종류별로 먹기 편하게 포장되어 있어 선물용으로도, 집에서 먹기도 좋네요^^"
